UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q9BSJ2,TUBGCP2,GO:0065003|GO:0008275|GO:0007020|GO:0000923|GO:0000922|GO:0043015|GO:0005881|GO:0000930|GO:0000278|GO:0005654|GO:0051225|GO:0005813|GO:0051321|GO:0005515|GO:0005815|GO:0051011|GO:0016020|GO:0005829|GO:0031122|GO:0051415,protein-containing complex assembly|gamma-tubulin small complex|microtubule nucleation|equatorial microtubule organizing center|spindle pole|gamma-tubulin binding|cytoplasmic microtubule|gamma-tubulin complex|mitotic cell cycle|nucleoplasm|spindle assembly|centrosome|meiotic cell cycle|protein binding|microtubule organizing center|microtubule minus-end binding|membrane|cytosol|cytoplasmic microtubule organization|microtubule nucleation by interphase microtubule organizing center,Gamma-tubulin complex component 2,GCP2,4,
Q96Q40,CDK15,GO:0005524|GO:0005634|GO:0005515|GO:0046872|GO:0005737|GO:0000083|GO:0005829|GO:0030332|GO:0051726|GO:0004693|GO:0004674|GO:0006468,ATP binding|nucleus|protein binding|metal ion binding|cytoplasm|regulation of transcription involved in G1/S transition of mitotic cell cycle|cytosol|cyclin binding|regulation of cell cycle|cyclin-dependent protein serine/threonine kinase activity|protein serine/threonine kinase activity|protein phosphorylation,Cyclin-dependent kinase 15,ALS2CR7|PFTK2,3,
Q6STE5,SMARCD3,GO:0005654|GO:0006338|GO:0043393|GO:0045893|GO:0003407|GO:0035257|GO:0010971|GO:0016514|GO:0006351|GO:0002052|GO:0003682|GO:0008134|GO:0005102|GO:0006337|GO:0006357|GO:0005634|GO:0003139|GO:0000790|GO:0003713|GO:0003219|GO:0071564|GO:0051152|GO:0042692|GO:0071565|GO:0019216,nucleoplasm|chromatin remodeling|regulation of protein binding|positive regulation of transcription  DNA-templated|neural retina development|nuclear hormone receptor binding|positive regulation of G2/M transition of mitotic cell cycle|SWI/SNF complex|transcription  DNA-templated|positive regulation of neuroblast proliferation|chromatin binding|transcription factor binding|signaling receptor binding|nucleosome disassembly|regulation of transcription by RNA polymerase II|nucleus|secondary heart field specification|nuclear chromatin|transcription coactivator activity|cardiac right ventricle formation|npBAF complex|positive regulation of smooth muscle cell differentiation|muscle cell differentiation|nBAF complex|regulation of lipid metabolic process,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3,BAF60C,4,
O15078,CEP290,GO:0032391|GO:0090316|GO:0035580|GO:0034451|GO:0015031|GO:0000930|GO:0005576|GO:0000086|GO:0030902|GO:0045893|GO:0005829|GO:0070201|GO:0042802|GO:0060271|GO:0036064|GO:0042462|GO:0043312|GO:0048793|GO:0005634|GO:0005813|GO:0005515|GO:0005737|GO:0005814|GO:0030916|GO:0097711|GO:0016020|GO:0032991|GO:0035869|GO:0036038|GO:0010389,photoreceptor connecting cilium|positive regulation of intracellular protein transport|specific granule lumen|centriolar satellite|protein transport|gamma-tubulin complex|extracellular region|G2/M transition of mitotic cell cycle|hindbrain development|positive regulation of transcription  DNA-templated|cytosol|regulation of establishment of protein localization|identical protein binding|cilium assembly|ciliary basal body|eye photoreceptor cell development|neutrophil degranulation|pronephros development|nucleus|centrosome|protein binding|cytoplasm|centriole|otic vesicle formation|ciliary basal body-plasma membrane docking|membrane|protein-containing complex|ciliary transition zone|MKS complex|regulation of G2/M transition of mitotic cell cycle,Centrosomal protein of 290 kDa,BBS14|KIAA0373|NPHP6,4,
O15066,KIF3B,GO:0016887|GO:0015630|GO:0008089|GO:1904115|GO:0007052|GO:0005871|GO:0005873|GO:0007018|GO:0005874|GO:0005524|GO:0005623|GO:0072383|GO:0097542|GO:0070062|GO:0005929|GO:0005829|GO:0035735|GO:0017048|GO:0019886|GO:0032467|GO:0006890|GO:0016939|GO:0007100|GO:0008574|GO:0007368|GO:0008017|GO:0005876|GO:0005813|GO:0003777|GO:0005515|GO:0016020|GO:0120170|GO:0030496|GO:0090307,ATPase activity|microtubule cytoskeleton|anterograde axonal transport|axon cytoplasm|mitotic spindle organization|kinesin complex|plus-end kinesin complex|microtubule-based movement|microtubule|ATP binding|cell|plus-end-directed vesicle transport along microtubule|ciliary tip|extracellular exosome|cilium|cytosol|intraciliary transport involved in cilium assembly|Rho GTPase binding|antigen processing and presentation of exogenous peptide antigen via MHC class II|positive regulation of cytokinesis|retrograde vesicle-mediated transport  Golgi to endoplasmic reticulum|kinesin II complex|mitotic centrosome separation|ATP-dependent microtubule motor activity  plus-end-directed|determination of left/right symmetry|microtubule binding|spindle microtubule|centrosome|microtubule motor activity|protein binding|membrane|intraciliary transport particle B binding|midbody|mitotic spindle assembly,Kinesin-like protein KIF3B,KIAA0359,3,
Q96PM9,ZNF385A,GO:0045600|GO:0043025|GO:0005730|GO:0007599|GO:0003730|GO:0005654|GO:0007611|GO:0030425|GO:0002039|GO:0003723|GO:0006977|GO:0007626|GO:0006915|GO:0030220|GO:0035855|GO:0070889|GO:1902164|GO:0008270|GO:1902166|GO:1901796|GO:0006974|GO:0003677|GO:0010609|GO:0000790|GO:0005737|GO:2000765,positive regulation of fat cell differentiation|neuronal cell body|nucleolus|hemostasis|mRNA 3'-UTR binding|nucleoplasm|learning or memory|dendrite|p53 binding|RNA binding|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|locomotory behavior|apoptotic process|platelet formation|megakaryocyte development|platelet alpha granule organization|positive regulation of DNA damage response  signal transduction by p53 class mediator resulting in transcription of p21 class mediator|zinc ion binding|negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|regulation of signal transduction by p53 class mediator|cellular response to DNA damage stimulus|DNA binding|mRNA localization resulting in posttranscriptional regulation of gene expression|nuclear chromatin|cytoplasm|regulation of cytoplasmic translation,Zinc finger protein 385A,HZF|RZF|ZNF385,4,
O15013,ARHGEF10,GO:0035023|GO:0090630|GO:0005085|GO:0005089|GO:0005813|GO:0022011|GO:0005515|GO:0051298|GO:0051496|GO:0019894|GO:0005829|GO:0030036|GO:0090307,regulation of Rho protein signal transduction|activation of GTPase activity|guanyl-nucleotide exchange factor activity|Rho guanyl-nucleotide exchange factor activity|centrosome|myelination in peripheral nervous system|protein binding|centrosome duplication|positive regulation of stress fiber assembly|kinesin binding|cytosol|actin cytoskeleton organization|mitotic spindle assembly,Rho guanine nucleotide exchange factor 10,KIAA0294,4,
Q6PEY2,TUBA3E,GO:0008150|GO:0015630|GO:0005200|GO:0000226|GO:0003674|GO:0000278|GO:0007017|GO:0005874|GO:0005525|GO:0005634|GO:0005515|GO:0005737|GO:0003924,biological_process|microtubule cytoskeleton|structural constituent of cytoskeleton|microtubule cytoskeleton organization|molecular_function|mitotic cell cycle|microtubule-based process|microtubule|GTP binding|nucleus|protein binding|cytoplasm|GTPase activity,Tubulin alpha-3E chain,,4,
Q92918,MAP4K1,GO:0008283|GO:0031098|GO:0007257|GO:0046777|GO:0004672|GO:0004674|GO:0006468|GO:0008349|GO:1904628|GO:0023014|GO:0007346|GO:0005524|GO:0000185|GO:0005515|GO:0005737|GO:0016020|GO:0032147|GO:0018105,cell population proliferation|stress-activated protein kinase signaling cascade|activation of JUN kinase activity|protein autophosphorylation|protein kinase activity|protein serine/threonine kinase activity|protein phosphorylation|MAP kinase kinase kinase kinase activity|cellular response to phorbol 13-acetate 12-myristate|signal transduction by protein phosphorylation|regulation of mitotic cell cycle|ATP binding|activation of MAPKKK activity|protein binding|cytoplasm|membrane|activation of protein kinase activity|peptidyl-serine phosphorylation,Mitogen-activated protein kinase kinase kinase kinase 1,HPK1,4,
Q99640,PKMYT1,GO:0007088|GO:0000139|GO:0005783|GO:0005794|GO:0004672|GO:0005730|GO:0006468|GO:0004674|GO:0000278|GO:0000079|GO:0005654|GO:0005789|GO:0005524|GO:0005634|GO:0000086|GO:0005515|GO:0010923|GO:0046872|GO:0016020|GO:0005829|GO:0016301,regulation of mitotic nuclear division|Golgi membrane|endoplasmic reticulum|Golgi apparatus|protein kinase activity|nucleolus|protein phosphorylation|protein serine/threonine kinase activity|mitotic cell cycle|regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|endoplasmic reticulum membrane|ATP binding|nucleus|G2/M transition of mitotic cell cycle|protein binding|negative regulation of phosphatase activity|metal ion binding|membrane|cytosol|kinase activity,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,MYT1,4,
Q9Y6X6,MYO16,GO:0016459|GO:0019903|GO:0021549|GO:0014065|GO:0008285|GO:0048812|GO:0005886|GO:0003774|GO:0005654|GO:0051015|GO:0005524|GO:0005515|GO:0048471|GO:0005737|GO:2000134,myosin complex|protein phosphatase binding|cerebellum development|phosphatidylinositol 3-kinase signaling|negative regulation of cell population proliferation|neuron projection morphogenesis|plasma membrane|motor activity|nucleoplasm|actin filament binding|ATP binding|protein binding|perinuclear region of cytoplasm|cytoplasm|negative regulation of G1/S transition of mitotic cell cycle,Unconventional myosin-XVI,KIAA0865|MYO16B|NYAP3,4,
Q99623,PHB2,GO:0014069|GO:0060762|GO:0008022|GO:0009611|GO:0051091|GO:1904959|GO:0060744|GO:0031536|GO:0045892|GO:0048786|GO:0060749|GO:1902808|GO:0071456|GO:0098978|GO:0033218|GO:0030424|GO:0007062|GO:0043433|GO:0005741|GO:0005743|GO:0006851|GO:0007005|GO:0009986|GO:0046625|GO:0098982|GO:0005634|GO:0005515|GO:0005737|GO:0071300|GO:0006606|GO:0043066|GO:0005739|GO:0047485|GO:0070374|GO:0016363|GO:0033147|GO:0032991|GO:0030331|GO:0050821|GO:0033600|GO:0071944,postsynaptic density|regulation of branching involved in mammary gland duct morphogenesis|protein C-terminus binding|response to wounding|positive regulation of DNA-binding transcription factor activity|regulation of cytochrome-c oxidase activity|mammary gland branching involved in thelarche|positive regulation of exit from mitosis|negative regulation of transcription  DNA-templated|presynaptic active zone|mammary gland alveolus development|positive regulation of cell cycle G1/S phase transition|cellular response to hypoxia|glutamatergic synapse|amide binding|axon|sister chromatid cohesion|negative regulation of DNA-binding transcription factor activity|mitochondrial outer membrane|mitochondrial inner membrane|mitochondrial calcium ion transmembrane transport|mitochondrion organization|cell surface|sphingolipid binding|GABA-ergic synapse|nucleus|protein binding|cytoplasm|cellular response to retinoic acid|protein import into nucleus|negative regulation of apoptotic process|mitochondrion|protein N-terminus binding|positive regulation of ERK1 and ERK2 cascade|nuclear matrix|negative regulation of intracellular estrogen receptor signaling pathway|protein-containing complex|estrogen receptor binding|protein stabilization|negative regulation of mammary gland epithelial cell proliferation|cell periphery,Prohibitin-2,BAP|REA,4,
A2RUB1,MEIOC,GO:0007286|GO:0051729|GO:0007130|GO:0007141|GO:0007144|GO:0070192|GO:0006302|GO:0005623|GO:0005634|GO:0051310|GO:0048599|GO:0005737|GO:0048255,spermatid development|germline cell cycle switching  mitotic to meiotic cell cycle|synaptonemal complex assembly|male meiosis I|female meiosis I|chromosome organization involved in meiotic cell cycle|double-strand break repair|cell|nucleus|metaphase plate congression|oocyte development|cytoplasm|mRNA stabilization,Meiosis-specific coiled-coil domain-containing protein MEIOC,C17orf104,4,
P63208,SKP1,GO:0061630|GO:0038095|GO:0043687|GO:0002223|GO:0005654|GO:0006879|GO:0005623|GO:0000086|GO:0035518|GO:0031519|GO:0016032|GO:0005829|GO:0016055|GO:0097602|GO:0019005|GO:0010972|GO:0050852|GO:0051403|GO:0019904|GO:1901990|GO:0000209|GO:0038061|GO:0008013|GO:0005634|GO:0005813|GO:0005515|GO:0005737|GO:0031146|GO:0070498|GO:0010265|GO:0051457|GO:0016567|GO:0031467,ubiquitin protein ligase activity|Fc-epsilon receptor signaling pathway|post-translational protein modification|stimulatory C-type lectin receptor signaling pathway|nucleoplasm|cellular iron ion homeostasis|cell|G2/M transition of mitotic cell cycle|histone H2A monoubiquitination|PcG protein complex|viral process|cytosol|Wnt signaling pathway|cullin family protein binding|SCF ubiquitin ligase complex|negative regulation of G2/M transition of mitotic cell cycle|T cell receptor signaling pathway|stress-activated MAPK cascade|protein domain specific binding|regulation of mitotic cell cycle phase transition|protein polyubiquitination|NIK/NF-kappaB signaling|beta-catenin binding|nucleus|centrosome|protein binding|cytoplasm|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|interleukin-1-mediated signaling pathway|SCF complex assembly|maintenance of protein location in nucleus|protein ubiquitination|Cul7-RING ubiquitin ligase complex,S-phase kinase-associated protein 1,EMC19|OCP2|SKP1A|TCEB1L,4,
P31350,RRM2,GO:0042803|GO:0008199|GO:0006260|GO:0009263|GO:0005971|GO:0051290|GO:0005515|GO:0004748|GO:0000083|GO:0015949|GO:0005829|GO:0055114|GO:0070317,protein homodimerization activity|ferric iron binding|DNA replication|deoxyribonucleotide biosynthetic process|ribonucleoside-diphosphate reductase complex|protein heterotetramerization|protein binding|ribonucleoside-diphosphate reductase activity  thioredoxin disulfide as acceptor|regulation of transcription involved in G1/S transition of mitotic cell cycle|nucleobase-containing small molecule interconversion|cytosol|oxidation-reduction process|negative regulation of G0 to G1 transition,Ribonucleoside-diphosphate reductase subunit M2,RR2,1,26675256
A0A1W2PPC4,A0A1W2PPC4,GO:0090305|GO:0035861|GO:0007004|GO:0003691|GO:0000722|GO:0043047|GO:0070192|GO:0000784|GO:0000014|GO:0000794|GO:0004017|GO:0008408|GO:0003678|GO:0000790|GO:0051880|GO:0032508|GO:0016233|GO:0030870,nucleic acid phosphodiester bond hydrolysis|site of double-strand break|telomere maintenance via telomerase|double-stranded telomeric DNA binding|telomere maintenance via recombination|single-stranded telomeric DNA binding|chromosome organization involved in meiotic cell cycle|nuclear chromosome  telomeric region|single-stranded DNA endodeoxyribonuclease activity|condensed nuclear chromosome|adenylate kinase activity|3'-5' exonuclease activity|DNA helicase activity|nuclear chromatin|G-quadruplex DNA binding|DNA duplex unwinding|telomere capping|Mre11 complex,Uncharacterized protein,A0A1W2PPC4|PTN004499425,4,
P31323,PRKAR2B,GO:2000480|GO:0003091|GO:0043949|GO:0034199|GO:0007596|GO:0043025|GO:0007612|GO:0008603|GO:0005952|GO:0004862|GO:0000086|GO:0070062|GO:0071377|GO:0043198|GO:0097546|GO:0010738|GO:0043197|GO:0005829|GO:0098978|GO:0035556|GO:0019904|GO:0005886|GO:0006631|GO:0005813|GO:0005515|GO:0031625|GO:0048471|GO:0005737|GO:0097711|GO:0045121|GO:0034236|GO:0050804|GO:0097338|GO:0030552|GO:0010389,negative regulation of cAMP-dependent protein kinase activity|renal water homeostasis|regulation of cAMP-mediated signaling|activation of protein kinase A activity|blood coagulation|neuronal cell body|learning|cAMP-dependent protein kinase regulator activity|cAMP-dependent protein kinase complex|cAMP-dependent protein kinase inhibitor activity|G2/M transition of mitotic cell cycle|extracellular exosome|cellular response to glucagon stimulus|dendritic shaft|ciliary base|regulation of protein kinase A signaling|dendritic spine|cytosol|glutamatergic synapse|intracellular signal transduction|protein domain specific binding|plasma membrane|fatty acid metabolic process|centrosome|protein binding|ubiquitin protein ligase binding|perinuclear region of cytoplasm|cytoplasm|ciliary basal body-plasma membrane docking|membrane raft|protein kinase A catalytic subunit binding|modulation of chemical synaptic transmission|response to clozapine|cAMP binding|regulation of G2/M transition of mitotic cell cycle,cAMP-dependent protein kinase type II-beta regulatory subunit,,4,
